date,continent,new_cases_avg_per_pop,new_deaths_avg_per_pop
2020-04-13,Europe,332.59429225657715,51.03917810017437
2020-04-13,Africa,NA,NA
2020-04-13,Oceania,NA,NA
2020-04-13,North America,316003.6123900147,20924.218981687114
2020-04-13,South America,1038.7915109668904,64.94272936094184
2020-04-14,Asia,6.705040265884164,0.21565532762237258
2020-04-14,Europe,333.90235458926844,51.237155101879
2020-04-14,Africa,NA,NA
2020-04-14,Oceania,NA,NA
2020-04-14,North America,315431.9637472776,20975.211114137837
2020-04-14,South America,1059.0339426764385,68.74079386726942
2020-04-15,Asia,6.790633152143431,0.21565532762237258
2020-04-15,Europe,331.7599606065362,51.43159679998176
2020-04-15,Africa,NA,NA
2020-04-15,Oceania,NA,NA
2020-04-15,North America,311434.4489427855,21340.207430627215
2020-04-15,South America,1059.9521560735727,71.78759286685089
2020-04-16,Asia,6.882830427774556,0.21944184419557064
2020-04-16,Europe,329.3913071932843,51.30255821851356
2020-04-16,Africa,NA,NA
2020-04-16,Oceania,NA,NA
2020-04-16,North America,307075.96351647115,21965.53200225976
2020-04-16,South America,1154.361188088001,77.63076903043176
2020-04-17,Asia,7.143835895750346,0.2202343709201935
2020-04-17,Europe,333.91296050007406,50.83059518766413
2020-04-17,Africa,NA,NA
2020-04-17,Oceania,NA,NA
2020-04-17,North America,295041.8202581007,22796.167001917573
2020-04-17,South America,1174.520145852355,84.01652583777373
2020-04-18,Asia,7.250474769474598,0.3351507459905063
2020-04-18,Europe,338.1111335272928,50.770495026432364
2020-04-18,Africa,NA,NA
2020-04-18,Oceania,NA,NA
2020-04-18,North America,292206.3893141961,23306.088326424797
2020-04-18,South America,1140.7966719939739,87.0633248373552
2020-04-19,Asia,7.1901546798783045,0.3316284049921826
2020-04-19,Europe,306.0070415187257,45.51173091865309
2020-04-19,Africa,NA,NA
2020-04-19,Oceania,NA,NA
2020-04-19,North America,289612.50005032116,23616.06681579629
2020-04-19,South America,1195.5973170138432,95.20203449377142
2020-04-20,Asia,7.276187858762362,0.32564042529503223
2020-04-20,Europe,308.3120594671439,45.07688857562328
